Average mark awarded for your highest qualification,Hours willing to work per day,Hackathons Attended,Public speaking points,Can you work for a long time before a system?,Are you a self learner?,Attended Extra-courses,Certifications Awarded,Workshops Attended,Reading and writing skills,How do you rate your memory?,Interested subjects,Interested in games,Interested book genre,Management or Technical,Team worker or not?,Are you an introvert?,Suggested Job Role
79.66666667,9,0,8,yes,yes,yes,shell programming,cloud computing,excellent,excellent,cloud computing,no,Prayer books,Management,yes,no,Database Developer
73.55555556,12,1,3,yes,no,yes,machine learning,database security,poor,medium,networks,yes,Childrens,Technical,no,yes,Portal Administrator
79.44444444,11,4,3,yes,no,yes,app development,web technologies,poor,excellent,hacking,yes,Travel,Management,no,yes,Portal Administrator
76.44444444,7,1,5,no,yes,no,python,data science,medium,excellent,networks,no,Romance,Management,yes,yes,Systems Security Administrator
76.44444444,4,4,3,no,no,no,app development,cloud computing,poor,excellent,Computer Architecture,yes,Cookbooks,Management,yes,yes,Business Systems Analyst
79.33333333,11,3,1,yes,yes,no,python,database security,poor,medium,programming,yes,Self help,Management,yes,no,Software Systems Engineer
79.33333333,6,2,3,no,no,yes,r programming,cloud computing,excellent,poor,parallel computing,no,Drama,Technical,yes,yes,Database Developer
74.11111111,12,1,6,yes,no,no,r programming,cloud computing,poor,excellent,parallel computing,no,Romance,Technical,no,no,Business Intelligence Analyst
74.88888889,10,2,8,no,yes,no,information security,testing,poor,poor,IOT,no,Math,Technical,yes,yes,Business Systems Analyst
74.66666667,10,0,4,no,no,yes,app development,data science,excellent,poor,data engineering,no,Religion-Spirituality,Management,yes,no,CRM Technical Developer
78.55555556,8,2,9,yes,no,no,hadoop,database security,medium,poor,parallel computing,yes,Cookbooks,Management,yes,yes,Mobile Applications Developer
79.11111111,8,6,7,no,yes,no,machine learning,hacking,medium,excellent,parallel computing,no,Anthology,Management,yes,no,UX Designer
66,8,2,6,yes,no,yes,distro making,game development,medium,poor,cloud computing,no,Trilogy,Technical,yes,no,CRM Technical Developer
77.22222222,12,3,5,no,no,yes,python,testing,poor,poor,parallel computing,yes,Autobiographies,Management,yes,yes,Business Systems Analyst
72.55555556,9,2,8,yes,no,yes,machine learning,hacking,poor,poor,Software Engineering,no,Math,Management,yes,no,Quality Assurance Associate
69.66666667,4,6,8,yes,yes,yes,information security,system designing,medium,excellent,networks,no,Childrens,Technical,no,no,Web Developer
76.33333333,11,5,4,no,no,yes,app development,hacking,medium,medium,IOT,yes,Mystery,Technical,yes,yes,Web Developer
72,4,6,4,no,yes,no,hadoop,web technologies,medium,excellent,hacking,yes,Math,Management,yes,no,Information Security Analyst
80.11111111,12,0,1,no,no,no,machine learning,testing,medium,medium,Computer Architecture,no,Diaries,Technical,yes,no,CRM Business Analyst
74.11111111,12,0,8,no,yes,no,hadoop,system designing,excellent,excellent,parallel computing,no,Autobiographies,Management,no,no,Information Security Analyst
76.22222222,4,0,5,yes,yes,yes,app development,game development,medium,poor,parallel computing,no,Journals,Technical,yes,no,Database Developer
75.33333333,5,3,8,yes,yes,yes,hadoop,system designing,excellent,poor,hacking,no,History,Management,yes,yes,Business Systems Analyst
69.11111111,4,6,5,no,no,no,r programming,system designing,medium,excellent,cloud computing,yes,Art,Management,no,yes,Quality Assurance Associate
73.66666667,9,5,6,no,yes,yes,shell programming,testing,excellent,poor,data engineering,no,Childrens,Management,no,no,Technical Support
78.77777778,4,5,1,yes,yes,no,full stack,testing,medium,poor,parallel computing,yes,Childrens,Technical,no,yes,Technical Support
83.88888889,12,0,7,yes,yes,no,distro making,testing,medium,excellent,networks,yes,History,Technical,no,yes,Information Security Analyst
77.77777778,4,5,8,no,yes,no,python,database security,excellent,medium,programming,yes,Self help,Management,yes,no,Business Intelligence Analyst
79.44444444,12,1,5,yes,yes,yes,app development,data science,poor,excellent,parallel computing,yes,Dictionaries,Technical,no,no,Project Manager
80.22222222,11,0,8,yes,no,yes,app development,testing,excellent,medium,cloud computing,no,Art,Management,no,no,Information Technology Manager
82,4,1,6,yes,no,no,app development,testing,excellent,poor,networks,yes,Journals,Management,yes,yes,Web Developer
78.44444444,4,3,8,no,yes,yes,python,data science,poor,medium,data engineering,yes,Self help,Technical,no,yes,Programmer Analyst
81.88888889,11,6,1,no,yes,no,full stack,game development,excellent,poor,cloud computing,yes,Childrens,Technical,no,no,Business Systems Analyst
